subject,unit,url,description
Data Mining (CS-8003),5,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211340&authkey=AOl2OGb7NFKZfqs&em=2,Server 1
Data Mining (CS-8003),5,https://www.dropbox.com/s/803nnazfgljguhq/Unit%205%20-%20Data%20Mining%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Computer Peripherals & Interfaces (CS-8003),1,https://www.rgpvnotes.in/not-available.html,Server 1
Computer Peripherals & Interfaces (CS-8003),1,https://www.rgpvnotes.in/not-available.html,Server 2
Computer Peripherals & Interfaces (CS-8003),2,https://www.rgpvnotes.in/not-available.html,Server 1
Computer Peripherals & Interfaces (CS-8003),2,https://www.rgpvnotes.in/not-available.html,Server 2
Computer Peripherals & Interfaces (CS-8003),3,https://www.rgpvnotes.in/not-available.html,Server 1
Computer Peripherals & Interfaces (CS-8003),3,https://www.rgpvnotes.in/not-available.html,Server 2
Computer Peripherals & Interfaces (CS-8003),4,https://www.rgpvnotes.in/not-available.html,Server 1
Computer Peripherals & Interfaces (CS-8003),4,https://www.rgpvnotes.in/not-available.html,Server 2
Computer Peripherals & Interfaces (CS-8003),5,https://www.rgpvnotes.in/not-available.html,Server 1
Computer Peripherals & Interfaces (CS-8003),5,https://www.rgpvnotes.in/not-available.html,Server 2
Cyber Law & Ethics (CS-8004),1,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211365&authkey=AG3Ug5o3ds0zWPo&em=2,Server 1
Cyber Law & Ethics (CS-8004),1,https://www.dropbox.com/s/z6r414f5u3ly28d/Unit%201%20-%20Cyber%20Law%20and%20Ethics%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Cyber Law & Ethics (CS-8004),2,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211362&authkey=AIdhP6xed9JNBXY&em=2,Server 1
Cyber Law & Ethics (CS-8004),2,https://www.dropbox.com/s/4r1vb0887qg019a/Unit%202%20-%20Cyber%20Law%20and%20Ethics%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Cyber Law & Ethics (CS-8004),3,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211358&authkey=ADHyoWwsKbiGWfo&em=2,Server 1
Cyber Law & Ethics (CS-8004),3,https://www.dropbox.com/s/k7dm5ie0hzcvbc2/Unit%203%20-%20Cyber%20Law%20and%20Ethics%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Cyber Law & Ethics (CS-8004),4,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211359&authkey=AAQyD5Kkx6pa4r0&em=2,Server 1
Cyber Law & Ethics (CS-8004),4,https://www.dropbox.com/s/basxjehuitb64i9/Unit%204%20-%20Cyber%20Law%20and%20Ethics%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Cyber Law & Ethics (CS-8004),5,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211360&authkey=AExd2FMvrga1DDg&em=2,Server 1
