video_title,video_url,video_views,video_uploaded_on,scrapped_on
January 2022 | Monthly Current Affairs| Current Affairs 2022,https://www.youtube.com/watch?v=h4h79aOf1K0,153K views,7 months ago,2022-09-09 14:12:18.384721
Highest Paying Jobs in India 2022,https://www.youtube.com/watch?v=TJ0uzzOw46c,634K views,7 months ago,2022-09-09 14:12:18.384721
Did you Know this?#SatanicVerses # blasphemy,https://www.youtube.com/shorts/CrwiBEB0K4g,846K views,7 months ago,2022-09-09 14:12:18.384721
😯😯😯,https://www.youtube.com/shorts/n1JJMhFeFMc,526K views,7 months ago,2022-09-09 14:12:18.384721
Reason behind Republic Day!,https://www.youtube.com/shorts/C1QC92mU-9Y,127K views,7 months ago,2022-09-09 14:12:18.384721
Part 2 of Arguments For Criminalising #MaritalRape in India!,https://www.youtube.com/shorts/rZcQgOtOcJY,213K views,7 months ago,2022-09-09 14:12:18.384721
Part 1 of Arguments Against Criminalising #MaritalRape in India!,https://www.youtube.com/shorts/xzKAtT6ua60,34K views,7 months ago,2022-09-09 14:12:18.384721
BASICS of BANKING | For Competitive Exams 2022,https://www.youtube.com/watch?v=NGWesJRKw6Y,27K views,7 months ago,2022-09-09 14:12:18.384721
Do daughters have right to inherit father's self acquired property? | Important Judgment,https://www.youtube.com/watch?v=eub1KbmRz6I,328K views,7 months ago,2022-09-09 14:12:18.384721
Is it Compulsory to Pay Service Charge at Restaurants? #shorts,https://www.youtube.com/shorts/AmK78oh-siw,1M views,7 months ago,2022-09-09 14:12:18.384721
UOI v. KA Najeeb | Important Cases of 2021,https://www.youtube.com/watch?v=HIc-m9Jylwo,81K views,7 months ago,2022-09-09 14:12:18.384721
Why legal drinking age is different in all states? #shorts,https://www.youtube.com/shorts/ukBCklSVhlA,1.1M views,7 months ago,2022-09-09 14:12:18.384721
Skin- to- skin Contact Judgment| Sexual Assault Cases 2021| Important Judgments of 2021,https://www.youtube.com/watch?v=CpQIIlDJuE0,83K views,7 months ago,2022-09-09 14:12:18.384721
Right to be Forgotten | Important Judgments of 2021 | CLAT | Law Exams,https://www.youtube.com/watch?v=s0BHzbPo45g,83K views,7 months ago,2022-09-09 14:12:18.384721
GK Series on Computer Knowledge | Competitive Exams 2022,https://www.youtube.com/watch?v=IVdrYhkHINE,26K views,7 months ago,2022-09-09 14:12:18.384721
December 2021 Monthly Current Affairs | December 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=94mZSjK-RcQ,82K views,8 months ago,2022-09-09 14:12:18.384721
Complete Current Affairs Part 2 | Top 100 News | Competitive Exams,https://www.youtube.com/watch?v=RciT0tBByzM,75K views,8 months ago,2022-09-09 14:12:18.384721
