Name,Last,High,Low,chg_pct,chg,Time,Day,Week,Month,Ytd,Year,3Year,Day,Hour,Week,Month
DJ Spain Titans 30 EUR,519.77,520.20,510.43,+1.22%,+6.28,18:00:00,+1.22%,0.06%,-0.98%,0.15%,7.84%,-3.97%,Neutral,Strong Buy,Strong Buy,Strong Buy
DJ Spain USD,221.32,221.72,216.61,+1.59%,+3.47,18:00:00,+1.59%,-0.59%,-1.87%,-0.44%,-0.21%,-4.69%,Neutral,Strong Buy,Sell,Strong Sell
DJ Sweden,"1,421.42","1,423.74","1,392.93",+1.72%,+24.07,18:00:00,+1.72%,0.24%,-5.17%,-10.11%,5.56%,48.36%,Strong Sell,Strong Buy,Strong Sell,Buy
DJ Sweden Titans 30,"1,809.89","1,812.37","1,773.21",+1.73%,+30.80,18:00:00,+1.73%,0.12%,-3.86%,-7.26%,11.15%,48.98%,Sell,Strong Buy,Strong Sell,Strong Buy
DJ Sweden USD,899.62,901.46,876.51,+2.40%,+21.09,18:00:00,+2.40%,-1.43%,-8.41%,-12.66%,-6.04%,47.93%,Strong Sell,Strong Buy,Strong Sell,Neutral
DJ Switzerland,799.22,799.63,786.94,+1.21%,+9.55,18:00:00,+1.21%,0.29%,-3.18%,-6.49%,9.94%,29.91%,Strong Sell,Strong Buy,Sell,Strong Buy
DJ Taiwan,428.86,432.20,428.58,-0.23%,-0.99,18:00:00,-0.23%,-0.20%,-2.63%,-1.65%,12.67%,81.03%,Neutral,Strong Sell,Strong Buy,Strong Buy
DJ Taiwan USD,396.67,399.66,396.06,-0.21%,-0.82,18:00:00,-0.21%,-0.31%,-3.55%,-2.35%,13.29%,100.33%,Neutral,Strong Sell,Buy,Strong Buy
DJ Turkey Titans 20 EUR,210.57,211.65,207.41,+1.78%,+3.69,18:00:00,+1.78%,2.91%,-0.22%,11.01%,-21.18%,-31.36%,Strong Buy,Strong Buy,Buy,Sell
DJ Turkey Titans 20 TRY,"1,870.94","1,877.36","1,832.82",+2.35%,+42.89,18:00:00,+2.35%,2.58%,-0.25%,13.92%,44.32%,78.29%,Strong Buy,Strong Buy,Strong Buy,Strong Buy
DJ UK,337.13,337.88,333.86,+0.71%,+2.39,18:00:00,+0.71%,0.18%,0.06%,1.71%,11.22%,4.01%,Strong Buy,Strong Buy,Strong Buy,Strong Buy
DJ UK USD,244.30,245.07,241.62,+0.98%,+2.36,18:00:00,+0.98%,0.14%,-0.92%,1.75%,8.35%,9.69%,Buy,Strong Buy,Strong Buy,Strong Buy
FTSE All World,468.23,468.28,466.38,+0.28%,+1.31,17:45:00,+0.28%,-1.58%,-4.57%,-5.78%,3.73%,42.49%,Strong Sell,Buy,Strong Sell,Strong Buy
FTSE Asia Pacific,369.92,373.08,369.68,-1.47%,-5.50,14/02,-1.47%,-0.04%,-3.78%,-2.64%,-13.59%,22.01%,Strong Sell,,Strong Sell,Neutral
FTSE China 50,"16,901.07","16,901.07","16,901.07",0.00%,0.00,14/02,0.00%,1.03%,-1.03%,2.40%,-30.03%,-11.56%,Sell,Sell,Neutral,Strong Sell
FTSE China 50 USD,"16,681.76","16,910.04","16,628.50",-1.27%,-215.09,13:29:00,-1.27%,-0.34%,-2.49%,1.04%,-31.34%,-12.16%,Strong Sell,Strong Sell,Strong Sell,Strong Sell
FTSE Europe,"6,734.23","6,745.26","6,637.22",+1.11%,+74.17,17:45:00,+1.11%,0.34%,-0.85%,2.65%,19.04%,21.31%,Buy,Strong Buy,Strong Buy,Strong Buy
FTSE Global 100,"2,867.51","2,867.89","2,859.39",+0.19%,+5.43,17:45:00,+0.19%,-2.50%,-5.99%,-8.07%,10.08%,68.80%,Strong Sell,Neutral,Sell,Strong Buy
FTSE Japan,101.94,103.00,101.53,-0.92%,-0.95,11:49:00,-0.92%,-1.06%,-3.46%,-3.25%,-7.66%,8.56%,Strong Sell,Strong Sell,Strong Sell,Neutral
FTSE World,842.84,842.95,839.82,+0.23%,+1.91,17:45:00,+0.23%,-1.71%,-4.70%,-6.15%,5.84%,44.46%,Strong Sell,Buy,Strong Sell,Buy
FTSE4Good Europe 50,"4,381.83","4,382.42","4,314.63",+1.29%,+55.89,17:45:00,+1.29%,-0.12%,-2.33%,-3.52%,15.41%,24.79%,Strong Sell,Neutral,Sell,Strong Buy
FTSE4Good Global 100,"10,984.78","10,986.85","10,951.35",+0.19%,+21.16,17:45:00,+0.19%,-2.47%,-4.60%,-6.42%,12.86%,65.78%,Strong Sell,Neutral,Neutral,Strong Buy
MSCI AC World Equity,708.34,714.93,704.73,-1.00%,-7.12,14/02,-1.00%,-1.88%,-4.85%,-6.16%,3.40%,42.17%,Strong Sell,,Strong Sell,Strong Buy
MSCI Argentina,"2,179.82","2,234.64","2,175.71",-1.44%,-31.89,14/02,-1.44%,-0.34%,-3.56%,0.97%,19.20%,-9.42%,Neutral,,Neutral,Strong Buy
MSCI Australia AUD,"1,416.25","1,420.20","1,407.58",+0.57%,+8.01,14/02,+0.57%,1.25%,-1.04%,-1.57%,4.32%,16.50%,Strong Buy,,Buy,Strong Buy
MSCI Australia USD,"4,831.30","4,849.08","4,813.23",-0.23%,-10.91,14/02,-0.23%,1.14%,-2.57%,-3.61%,-0.84%,30.00%,Neutral,,Neutral,Buy
MSCI Belgium,77.04,77.42,76.07,-2.02%,-1.59,14/02,-2.02%,-1.21%,-5.54%,-4.51%,0.86%,-7.48%,Strong Sell,,Strong Sell,Strong Sell
MSCI Brazil,"1,678.96","1,692.30","1,671.62",-0.48%,-8.17,14/02,-0.48%,2.34%,12.69%,17.01%,-7.71%,-25.17%,Strong Buy,,Strong Buy,Sell
MSCI Brazil Net USD,489.92,493.81,487.78,-0.48%,-2.38,14/02,-0.48%,2.39%,12.85%,17.25%,-0.30%,-14.28%,Strong Buy,,Strong Buy,Neutral
MSCI Canada,"2,692.62","2,711.00","2,682.63",-0.97%,-26.36,14/02,-0.97%,-0.32%,-0.25%,0.78%,16.51%,32.99%,Strong Buy,,Strong Buy,Strong Buy
